date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:44	2136/2136	---M--	200	added ('OK')	application/json	etag:W/%22858-LD2O3mCQnNbf+mqK9Utf5qQEAlg%22	https://yuzzu-api.herokuapp.com/api/lirik?judul=happier	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/lirika12c.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:45	47/47	---M--	200	added ('OK')	application/json	etag:W/%222f-brjeB8cUvUHu8t8Idsk4Q9f7hiE%22	https://yuzzu-api.herokuapp.com/api/playstore?judul=Wibu	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/playstorefbc9.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:46	2611/2611	---M--	200	added ('OK')	application/json	etag:W/%22a33-Lo5WB7Um++LzFxOGuz22rHtk5xs%22	https://yuzzu-api.herokuapp.com/api/pinterest?judul=Nino	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/pinterestcde6.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:50	83/83	---M--	200	added ('OK')	application/json	etag:W/%2253-bd/lgQvxWVyrLLTPrVCvam9rbsQ%22	https://yuzzu-api.herokuapp.com/api/films?judul=Luca	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/filmse985.json	(from https://yuzzu-api.herokuapp.com/media)
10:57:50	83/83	---M--	200	added ('OK')	application/json	etag:W/%2253-bd/lgQvxWVyrLLTPrVCvam9rbsQ%22	https://yuzzu-api.herokuapp.com/api/nhentai?g=334430	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/nhentaic343.json	(from https://yuzzu-api.herokuapp.com/media)
10:58:20	506/506	---M--	503	error ('Service%20Unavailable')	text/html	date:Sun,%2026%20Jun%202022%2003:58:17%20GMT	https://yuzzu-api.herokuapp.com/api/search/pornhub?query=cute	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/search/pornhub9ea5	(from https://yuzzu-api.herokuapp.com/media)
10:58:23	84/84	---M--	200	added ('OK')	application/json	etag:W/%2254-MBc7PPy/YNwoeGE8GadNrO1ICG4%22	https://yuzzu-api.herokuapp.com/api/herolist	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/herolist.json	(from https://yuzzu-api.herokuapp.com/media)
10:58:23	5963/5963	---M--	200	added ('OK')	application/json	etag:W/%22174b-mJqco3X5x3e6/gRiyzUGVeEGTv0%22	https://yuzzu-api.herokuapp.com/api/hero?hero=kagura	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/hero4225.json	(from https://yuzzu-api.herokuapp.com/media)
10:58:24	4966/4966	---M--	200	added ('OK')	application/json	etag:W/%221366-I3XEBrr0zPzw+AP3vNKxS7Zjoes%22	https://yuzzu-api.herokuapp.com/api/wiki?judul=indonesia	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/wiki91ba.json	(from https://yuzzu-api.herokuapp.com/media)
10:58:25	83/83	---M--	200	added ('OK')	application/json	etag:W/%2253-bd/lgQvxWVyrLLTPrVCvam9rbsQ%22	https://yuzzu-api.herokuapp.com/api/igstalk?user=riyaaannii	C:/Users/billi/OneDrive/Dokumen/website/website-playshop/yuzzu-api.herokuapp.com/api/igstalk6f6b.json	(from https://yuzzu-api.herokuapp.com/media)
